[0 0 0 0 0 0 0 0][0 0 0]left arm
[-5642473 -5616122 -5724600 -4483591 -5572048  7693341 -5510224 -2582799][0 0 0]left arm
[-5680140 -5545972 -5566167 -4442490 -5555641  7699716 -5577839 -2535132][0 0 0]left arm
[-5653842 -5568809 -5625534 -4456973 -5561972  7696976 -5526094 -2568316][ -80 7488 2496]left arm
[-5610462 -5640712 -5793056 -4503178 -5579964  7690262 -5457958 -2620998][0 0 0]left arm
[-5628731 -5627391 -5753817 -4497617 -5575096  7691973 -5495253 -2595403][0 0 0]left arm
[-5672355 -5553729 -5580741 -4453924 -5556986  7698961 -5572741 -2540183][0 0 0]left arm
[-5657479 -5556590 -5598019 -4456536 -5559381  7698032 -5542107 -2559345][0 0 0]left arm
[-5609792 -5631697 -5771429 -4503696 -5577724  7690846 -5463427 -2617758][0 0 0]left arm
[-5616182 -5636806 -5779152 -4509907 -5577973  7690812 -5482334 -2606908][0 0 0]left arm
[-5662446 -5564466 -5603612 -4466464 -5558814  7697870 -5564069 -2547587][0 0 0]left arm
[-5659761 -5546947 -5577223 -4457431 -5556642  7698678 -5556380 -2551471][0 0 0]left arm
[-5610837 -5620362 -5745146 -4502710 -5574258  7691581 -5471636 -2611729][0 0 0]left arm
[-5604759 -5643815 -5799102 -4520598 -5579859  7689736 -5470953 -2616462][ -64 7536 2528]left arm
[-5650651 -5577464 -5632918 -4480885 -5561458  7696479 -5551983 -2557224][0 0 0]left arm
[-5660304 -5541195 -5564027 -4460889 -5555082  7699189 -5567423 -2545413][0 0 0]left arm
[-5613316 -5607361 -5715344 -4501129 -5570759  7692785 -5482894 -2603448][0 0 0]left arm
[-5595179 -5647749 -5810952 -4529395 -5581002  7689169 -5462458 -2623385][0 0 0]left arm
[-5637276 -5591211 -5665909 -4495782 -5564506  7695081 -5537104 -2568204][0 0 0]left arm
[-5658506 -5539266 -5558197 -4466251 -5554094  7699510 -5575090 -2541791][0 0 0]left arm
[-5616734 -5592814 -5682786 -4498963 -5566966  7694093 -5497026 -2593870][0 0 0]left arm
[-5587786 -5647559 -5812826 -4535749 -5581104  7688933 -5457388 -2627844][0 0 0]left arm
[-5623540 -5604515 -5699534 -4510733 -5567980  7693556 -5521829 -2580734][0 0 0]left arm
[-5654974 -5540698 -5559609 -4473646 -5554021  7699237 -5578215 -2541394][ -96 7520 2496]left arm
[-5621064 -5578113 -5649838 -4496585 -5563514  7695241 -5512685 -2583896][0 0 0]left arm
[-5582976 -5644223 -5805216 -4539646 -5580302  7689031 -5456096 -2629493][0 0 0]left arm
[-5609504 -5617234 -5731781 -4524961 -5571428  7692157 -5506222 -2593422][0 0 0]left arm
[-5648722 -5546189 -5568917 -4482887 -5554617  7698704 -5576494 -2543669][0 0 0]left arm
[-5624864 -5564381 -5619722 -4494689 -5560063  7696315 -5528930 -2573704][0 0 0]left arm
[-5580264 -5637257 -5789902 -4541249 -5578285  7689416 -5457926 -2627876][0 0 0]left arm
