1,2,3,4,5,6,7,8,9,10,11
64691.87,50561.01,-15214.21,-20892.71,6610.71,-3346.95,7282.2,1849.94,0.03,0.772,0.61
64438.0,50269.21,-15142.95,-20724.67,6663.97,-3333.34,7338.81,1917.18,0.03,0.772,0.61
64928.84,50981.82,-15389.76,-20853.55,6341.37,-3659.63,7000.3,1603.34,0.03,0.772,0.61
65229.81,51362.16,-15511.69,-21018.51,6213.18,-3767.16,6868.65,1468.98,0.03,0.772,0.604
64817.8,50728.64,-15257.95,-20924.65,6549.19,-3405.11,7215.39,1793.35,0.03,0.772,0.604
64434.29,50238.76,-15093.69,-20712.18,6720.14,-3270.42,7389.58,1975.47,0.03,0.772,0.604
64830.07,50844.96,-15348.54,-20830.01,6388.46,-3622.82,7041.4,1643.84,0.03,0.772,0.604
65247.91,51382.25,-15493.83,-20991.21,6220.85,-3781.6,6867.1,1460.93,0.03,0.772,0.604
64954.32,50901.27,-15287.72,-20942.58,6498.28,-3471.14,7156.27,1728.8,0.03,0.772,0.604
64443.0,50225.39,-15076.0,-20730.44,6748.93,-3250.19,7422.16,1984.28,0.03,0.772,0.604
64728.48,50704.66,-15306.97,-20802.59,6446.06,-3576.39,7111.01,1691.22,0.03,0.772,0.604
65231.38,51368.6,-15488.13,-20966.36,6227.04,-3786.03,6874.86,1456.13,0.03,0.772,0.604
65036.46,51038.33,-15370.24,-20992.49,6401.27,-3572.19,7056.18,1628.91,0.03,0.772,0.604
64491.06,50282.77,-15083.98,-20753.48,6741.69,-3233.11,7412.58,1985.82,0.034,0.772,0.604
64677.43,50617.54,-15232.2,-20740.99,6522.35,-3487.21,7179.85,1774.44,0.034,0.772,0.604
65165.73,51298.64,-15488.46,-20955.74,6215.3,-3790.68,6860.67,1457.09,0.034,0.772,0.604
65106.29,51158.29,-15431.78,-21028.43,6320.47,-3660.34,6980.23,1553.24,0.034,0.772,0.604
64548.06,50359.28,-15111.61,-20806.88,6708.5,-3269.59,7381.89,1941.56,0.034,0.772,0.604
64565.14,50468.41,-15201.49,-20747.47,6561.18,-3455.11,7230.03,1812.64,0.034,0.772,0.604
65069.48,51186.5,-15481.89,-20960.75,6216.89,-3798.28,6867.86,1460.87,0.034,0.772,0.604
